source_file,name,shop_id,rating,review_count,avg_price,category,area,recommended_dishes,has_group_buy,has_promotion,detail_url
debug_page_2.html,荣悦楼,k4duDDqpL9tgglfx,4.5星,6347,￥92,特色菜,广成/荣昌,荣悦楼红烧肉 | 淮南王点卤豆皮 | 八珍鱼头王,是,否,https://www.dianping.com/shop/k4duDDqpL9tgglfx
debug_page_2.html,江南灶中餐厅(南京香格里拉店),GaquSGNRIhETw2c7,5.0星,33801,￥260,淮扬菜,南瑞路/新模范马路,江南灶红烧肉 | 年糕大黄鱼 | 淮扬炒软兜,是,是,https://www.dianping.com/shop/GaquSGNRIhETw2c7
debug_page_2.html,A Lot cafe and canteen(新街口店),k6vlTOT8u0hBTPCo,4.0星,2619,￥58,甜品,新街口地区,可爱岛的草莓冰 | 提拉米苏日式厚松饼 | 小岛冰奶咖,是,否,https://www.dianping.com/shop/k6vlTOT8u0hBTPCo
debug_page_2.html,三品堂精致淮扬菜(玄武湖店),Ha12ZvPdeVS12FNN,4.5星,9143,￥109,淮扬菜,火车站/玄武湖,【老口味】自制彩椒虾干老豆腐 | 【老南京】椒麻乳鸽 | 鸭汤,否,否,https://www.dianping.com/shop/Ha12ZvPdeVS12FNN
debug_page_2.html,脂肪-家庭厨房(莫愁店),l519fBK3ejaLFzS5,5.0星,2655,￥103,私房菜,莫愁湖/水西门,昂刺鱼炖锅 | 鸭舌啫啫煲 | 炸货拼盘,否,否,https://www.dianping.com/shop/l519fBK3ejaLFzS5
debug_page_2.html,柏烤堂烧烤(洪武路店),k59mu8isiLFbJvo9,5.0星,12982,￥86,烧烤烤串,新街口地区,鸡爪 | 鸡翅 | 烤花蛤,否,否,https://www.dianping.com/shop/k59mu8isiLFbJvo9
debug_page_2.html,福·燒鳥酒場(汉中门店),l1xgMnkDEP9G1bsX,4.5星,4381,￥122,日式料理,莫愁湖/水西门,葱花蛋卷 | 烧鸟拼盘 | 松板肉,否,否,https://www.dianping.com/shop/l1xgMnkDEP9G1bsX
debug_page_3.html,新白鹿餐厅(中央商场店),k7zpTiobvm6JnepY,4.5星,16608,￥71,浙菜,新街口地区,冰淇淋烤布雷 | 蛋黄鸡翅 | 酱烤活鲈鱼,是,是,https://www.dianping.com/shop/k7zpTiobvm6JnepY
debug_page_3.html,Oasis绿洲西餐吧(1912店),H7JpvRxslIZHScgC,4.0星,3661,￥98,西餐,总统府/1912商圈,西班牙海鲜饭 | 蔓越莓苹果鸡肉沙拉 | 美式烤肉大拼盘,是,否,https://www.dianping.com/shop/H7JpvRxslIZHScgC
debug_page_3.html,POETS泰狮(金鹰店),H94HQXmO4tz9ipUV,5.0星,19232,￥150,泰国菜,新街口地区,招牌泰皇咖喱蟹 | 冬阴功海鲜汤 | 菠萝海鲜炒饭,是,是,https://www.dianping.com/shop/H94HQXmO4tz9ipUV
debug_page_3.html,La Mia Casa漫味意式小馆(上海路店),k6MIFv2KgImI5Jqj,5.0星,11361,￥122,意大利菜,南大/南师大,蘑菇汤 | 夏威夷菠萝火腿披萨 | 奶油培根面,是,是,https://www.dianping.com/shop/k6MIFv2KgImI5Jqj
debug_page_3.html,鱼满楼(汉中门大街店),H8PbTg1ANNFBdqyb,5.0星,6160,￥80,南京/江浙菜,莫愁湖/水西门,黑椒牛眼粒 | 炭火现烤羊排 | 鱼满楼手工狮子头,是,否,https://www.dianping.com/shop/H8PbTg1ANNFBdqyb
debug_page_3.html,梓贤阁精品菜馆(江宁汤山店),H77RKpWKstOOPJPf,4.5星,8287,￥61,淮扬菜,汤山镇,香酥鸭头 | 泼辣鱼片 | 草鸡汤泡炒米,是,否,https://www.dianping.com/shop/H77RKpWKstOOPJPf
debug_page_3.html,富临轩私房菜(集庆门大街店),ka2nJltziG4Vs2Ru,5.0星,2757,￥102,私房菜,集庆门大街,特色牛筋骨 | 黄记凉粉 | 银芽腰花,否,否,https://www.dianping.com/shop/ka2nJltziG4Vs2Ru
